No. de Noticia;Fuente y Fecha;Titulo de la noticia;URL;TEMA;GUARDADO;ANOTADO
Noticia_93.txt;Investigación y ciencia;Fábricas de gripe;https://www.investigacionyciencia.es/revistas/investigacion-y-ciencia/la-autntica-revolucin-sexual-522/fbricas-de-gripe-8709;;;
Noticia_94.txt;BBC;Coronavirus | El escándalo de los defectuosos productos chinos para el coronavirus detectados en Europa;https://www.bbc.com/mundo/noticias-internacional-52111281;;;
Noticia_95.txt;20 Minutos;El Gobierno asume que Turquía se quedará con respiradores que había comprado España;https://www.20minutos.es/noticia/4216473/0/gobierno-asume-turquia-quedara-respiradores-comprado-espana/;;;
Noticia_96.txt;MARCA;Drogas usadas para ejecuciones de pena de muerte podrían ayudar a los enfermos de coronavirus;https://us.marca.com/claro/mas-trending/2020/04/21/5e9f363922601dc2668b458b.html?intcmp=MODCLAR02;;;
Noticia_97.txt;;;;;;
Noticia_98.txt;;;;;;
Noticia_99.txt;;;;;;
Noticia_100.txt;;;;;;
Noticia_89.txt;;;;;;
Noticia_89.txt;;;;;;
Noticia_89.txt;;;;;;
Noticia_89.txt;;;;;;
Noticia_89.txt;;;;;;
Noticia_89.txt;;;;;;
